id,nev,email,telefon,telepules
1210,Derzsi Vilmos,derzsiv@sctivcr.tgb,4-625945,Eperkebordó
1211,Háry János,haryj@npassbbi.xyz,5-689230,Bolhaugra
1212,Váci Vendel,vaciv@alsips.tmk,5-602390,Eperkebordó
1213,Korányi Erzsébet,koranyie@alsips.tgb,3-949969,Eperkebordó
1214,Jávori Lilla,javoril@frraacku.atp,3-300758,Cserépkakasd
1215,Történész Tamás,torteneszt@frraacku.tmk,5-172945,Cserépkakasd
1216,Horváth Mihály,horvathm@mnsk.xyz,6-531725,Miákfalva
1217,Simon Mihály,simonm@mnsk.atp,4-872753,Fülefoltosd
1218,Kőszegi Kázmér,koszegik@sctivcr.tmk,4-445761,Patakfolyta
1219,Kiss Tamás,kisst@mnsk.xyz,3-281911,Cserépkakasd
1220,Várhelyi Szilvia,varhelyis@alsips.tgb,3-704085,Karmavér
1221,Pécsi Péter,pecsip@linkrb.atp,4-191292,Karmavér
1222,Rózsa Sándor,rozsas@frraacku.xyz,5-104939,Karmavér
1223,Rozmár Rozália,rozmarr@sctivcr.tmk,5-567510,Cserépkakasd
1224,Árendás Viktor,arendasv@npassbbi.xyz,4-559156,Barnamalom
1225,Kertész Zsuzsa,kerteszz@hjnva.xyz,6-815385,Barnamalom
1226,Kiss Kázmér,kissk@alsips.xyz,4-626181,Szálaszőre
1227,Szántó Béla,szantob@mnsk.atp,5-168476,Szürcsölde
1228,Soma Viktor,somav@sctivcr.tgb,3-991709,Eperkebordó
1229,Esztergom Andrea,esztergoma@aaabbbccc.tmk,5-153226,Eperkebordó
1230,Vezér Árpád,vezera@mnsk.atp,6-712315,Eperkebordó
1231,Balta Márta,baltam@sctivcr.xyz,3-144350,Selyembarkás
1232,Horváth Balázs,horvathb@aaabbbccc.hho,4-124222,Karmavér
1233,Szabó Ottó,szaboo@npassbbi.hho,3-537477,Barnamalom
1234,Kiss Éva,kisse@aaabbbccc.tmk,5-721051,Szálaszőre
1235,Fonyódi Frigyes,fonyodif@dede.tmk,5-253025,Barnamalom
1236,Nagy Jenő,nagyj@npassbbi.tmk,5-464237,Barnamalom
1237,Kemler Anikó,kemlera@frraacku.atp,3-670399,Karmavér
1238,Nagy Attila,nagya@npassbbi.tmk,4-344564,Eperkebordó
1239,Tóth Vilmos,tothv@hjnva.tmk,5-561500,Fülefoltosd
1240,Heisberger Ottó,heisbergero@dede.tgb,5-178245,Karmavér
1241,Tóth Eszter,tothe@dede.hho,6-556833,Cserépkakasd
1242,Jáki Jenő,jakij@alsips.hho,3-508865,Karmavér
1243,Szegedi Szilvia,szegedis@dede.tgb,5-442003,Miákfalva
1244,Farkas Csaba,farkasc@linkrb.tmk,6-583912,Karmavér
1245,Asztalos József,asztalosj@vvvvv.xyz,6-948967,Eperkebordó
1246,Kovács Eszter,kovacse@linkrb.tmk,3-353700,Barnamalom
1247,Fóti Franciska,fotif@dede.atp,6-842815,Szálaszőre
1248,Örkényi Ödön,orkenyio@hjnva.tmk,4-495193,Barnamalom
1249,Tivadar Zsolt,tivadarz@npassbbi.tgb,4-777537,Tamásuta
1250,Becz Miklós,beczm@sctivcr.atp,6-131403,Karmavér
1251,Varga Péter,vargap@hjnva.hho,5-344521,Szürcsölde
1252,Gere Gábor,gereg@linkrb.tmk,6-294036,Szürcsölde
1253,Turcsányi Szilvia,turcsanyis@sctivcr.xyz,3-460166,Barnamalom
1254,Kerepesi Katalin,kerepesik@sctivcr.atp,6-509308,Patakfolyta
1255,Levél Sándor,levels@alsips.tmk,4-504432,Barnamalom
1256,Kiss János,kissj@linkrb.atp,4-998694,Selyembarkás
1257,Kovács Jenő,kovacsj@aaabbbccc.tgb,3-147723,Patakfolyta
1258,Aszódi Attila,aszodia@mnsk.tgb,5-131766,Szürcsölde
1259,Takács Csaba,takacsc@aaabbbccc.hho,6-822326,Szálaszőre
1260,Csornai László,csornail@mnsk.xyz,3-627523,Eperkebordó
1261,Tivadar Tibor,tivadart@npassbbi.tmk,4-395636,Patakfolyta
